Reference number,Reference URL,First author,Title,Journal,Year,Country in which trial conducted,Continent in which trial conducted,Clinical trial phase (detail),Clinical trial phase (broad),Mechanism of action,ISCT compliance claimed,ISCT compliance demonstrated,Given indication,Indication class code,Indication class,Route of administration,Source of MSC,Stem or Stromal cell,Allogeneic or autologous,Donor sex,Donor Age,Stringency of characterisation,Osteogenic differentiation capacity,Adipogenic differentiation capacity,Chondrogenic differentiation capacity,Other differentiation capacity,Other differentiation capacity: Type,Co-occurence of differentiation capacity,Differentiation,"Number of characterisation attribute
 tests performed, value reported","Number of characterisation attribute
 tests performed, no value reported","Number of characterisation attribute
 tests performed, total",Viability qualifier,Viability value,Viability status,Viability test,CD73 qualifier,CD73 value,CD73 status,CD73 test,CD90 qualifier,CD90 value,CD90 status,CD90 test,CD105 qualifier,CD105 value,CD105 status,CD105 test,CD34 qualifier,CD34 value,CD34 status,CD34 test,CD45 qualifier,CD45 value,CD45 status,CD45 test,CD11b qualifier,CD11b value,CD11b status,CD11b test,CD14 qualifier,CD14 value,CD14 status,CD14 test,CD79a qualifier,CD79a value,CD79a status,CD79a test,CD19 qualifier,CD19 value,CD19 status,CD19 test,HLA-DR qualifier,HLA-DR value,HLA-DR status,HLA-DR test,CD3 qualifier,CD3 value,CD3 test,CD13 value,CD13 test,CD31 qualifer,CD31 value,CD31 test,CD133 qualifier,CD133 value,CD133 status,CD133 test,CD166 qualifier,CD166 value,CD166 status,CD166 test,CD29 qualifier,CD29 value,CD29 status,CD29 test,CD44 qualifier,CD44 value,CD44 status,CD44 test,CD146 value,CD146 test,CD271 value,CD271 test,STRO-1 value,STRO-1 test,MSCA-1 value,MSCA-1 test,SSEA-4 value,SSEA-4 test,Other markers noted
ref_number,ref_url,ref_first_author,ref_title,journal,year,country,continent,phase,phase_condensed,MOA,ISCT_claimed,ISCT_compliance,indication,sum_indication_code,sum_indication,route,source,stem_stromal,allo_auto,donor_sex,donor_age,test_results,O,A,C,other,other_type,differentiation_co,differentiation,marker_p_count,marker_m_count,marker_pm_count,viability_qualifier,viability_value,viability_status,viability_test,CD73_qualifier,CD73_value,CD73_status,CD73_test,CD90_qualifier,CD90_value,CD90_status,CD90_test,CD105_qualifier,CD105_value,CD105_status,CD105_test,CD34_qualifier,CD34_value,CD34_status,CD34_test,CD45_qualifier,CD45_value,CD45_status,CD45_test,CD11b_qualifier,CD11b_value,CD11b_status,CD11b_test,CD14_qualifier,CD14_value,CD14_status,CD14_test,CD79a_qualifier,CD79a_value,CD79a_status,CD79a_test,CD19_qualifier,CD19_value,CD19_status,CD19_test,HLA-DR_qualifier,HLA-DR_value,HLA-DR_status,HLA-DR_test,CD3_qualifier,CD3_value,CD3_test,CD13_value,CD13_test,CD31_qualifer,CD31_value,CD31_test,CD133_qualifier,CD133_value,CD133_status,CD133_test,CD166_qualifier,CD166_value,CD166_status,CD166_test,CD29_qualifier,CD29_value,CD29_status,CD29_test,CD44_qualifier,CD44_value,CD44_status,CD44_test,CD146_value,CD146_test,CD271_value,CD271_test,STRO-1_value,STRO-1_test,MSCA-1_value,MSCA-1_test,SSEA-4_value,SSEA-4_test,other_markers_noted
1,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/sctm.18-0053,Matas,Umbilical Cord?Derived Mesenchymal Stromal Cells (MSCs) for Knee Osteoarthritis: Repeated MSC Dosing Is Superior to a Single MSC Dose and to Hyaluronic Acid in a Controlled Randomized Phase I/II Trial,Stem Cells Translational Medicine,2018,Chile,South America,I/II,I,Paracrine,y,n,Osteoarthritis,MS,Musculoskeletal,Intraarticular,Umbilical cord,Stromal,Allogeneic,Not stated,Not stated,2. Average % reported,"Performed, value reported","Performed, value reported","Performed, value reported","Performed, value reported",thrombospondin expression,"Demonstrated (OAC, other)",Yes,8,0,8,greater than,80,release,p,minimum,95,release,p,minimum,95,release,p,minimum,95,release,p,maximum,2,release,p,maximum,2,release,p,NA,NA,NA,n,maximum,2,release,p,NA,NA,release,n,NA,NA,release,n,maximum,2,release,p,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5898688/,Huang,"A Randomized, Placebo-Controlled Trial of Human Umbilical Cord Blood Mesenchymal Stem Cell Infusion for Children With Cerebral Palsy",CELL TRANSPLANTATION,2018,China,Asia,II,II,Multiple,y,n,Cerebral palsy,CNS,Nervous system,Intravenous,Umbilical cord,Stem,Allogeneic,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,11,0,11,greater than,90,measure,p,greater than,95,measure,p,greater than,95,measure,p,greater than,95,measure,p,less than,2,measure,p,less than,2,measure,p,NA,NA,NA,n,less than,2,measure,p,less than,2,measure,p,less than,2,measure,p,less than,2,measure,p,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,greater than,95,NA,p,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5788872/,Keller,"Feasibility, Safety, and Tolerance of Mesenchymal Stem Cell Therapy for Obstructive Chronic Lung Allograft Dysfunction",Stem Cells Translational Medicine,2018,USA,North America,I,I,Immune,n,n/a (not claimed),Bronchiolitis obliterans syndrome,Resp,Respiratory,Intravenous,Bone marrow,Stem,Allogeneic,Male,Adult,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,"Performed, no value reported",(1) T-cell proliferation inhibition (2) Cytokine expression,Claimed (other),No,9,0,9,greater than,70,release,p,greater than,95,release,p,greater than,95,release,p,greater than,95,release,p,less than,5,release,p,less than,5,release,p,NA,NA,NA,n,less than,5,release,p,NA,NA,not stated,n,less than,5,release,p,less than,5,release,p,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
4,https://www.hindawi.com/journals/sci/2018/6495018/,Petinati,Recovery of Donor Hematopoiesis after Graft Failure and Second Hematopoietic Stem Cell Transplantation with Intraosseous Administration of Mesenchymal Stromal Cells,Stem Cells International,2018,Russia,Asia,I/IIa,I,Immune,n,n/a (not claimed),Transplant (haematopoeitic stem cell),IM,Immune,Intraosseous,Bone marrow,Stromal,Allogeneic,Not stated,Adult,4. Stated as 'standard phenotype',"Performed, no value reported","Performed, no value reported","Performed, no value reported",Not mentioned,Not mentioned,Claimed (OAC),Yes,0,0,0,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
5,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/sctm.17-0139,Wang,Autologous Mesenchymal Stem Cell and Islet Co-transplantion: safety and efficacy,Stem Cells Translational Medicine,2018,USA,North America,I,I,Paracrine,n,n/a (not claimed),Transplant (islet cell),IM,Immune,Intravenous,Bone marrow,Stem,Autologous,Not stated,Not stated,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,8,0,8,greater than,70,release,p,greater than,95,release,p,greater than,95,release,p,greater than,95,release,p,NA,NA,NA,n,less than,5,release,p,NA,NA,NA,n,less than,5,release,p,NA,NA,NA,n,NA,NA,NA,n,less than,5,release,p,NA,NA,n,NA,n,less than,5,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
6,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/sctm.17-0041,Milczarek,Multiple Autologous Bone Marrow?Derived CD271+Mesenchymal Stem Cell Transplantation Overcomes Drug?Resistant Epilepsy in Children,Stem Cells Translational Medicine,2018,Poland,Europe,I,I,Paracrine,n,n/a (not claimed),Epilepsy,CNS,Nervous system,Intrathecal,Bone marrow,Stem,Autologous,Not stated,Not stated,1. % by batch reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,5,0,5,NA,NA,NA,n,greater than,95,measure,p,greater than,95,measure,p,greater than,95,measure,p,NA,NA,NA,n,less than,2,measure,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,less than,2,p,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5702514/,Shi,A Pilot Study of Mesenchymal Stem Cell Therapy for Acute Liver Allograft Rejection,Stem Cells Translational Medicine,2017,China,Asia,II,II,Immune,n,n/a (not claimed),Transplant (liver),IM,Immune,Intravenous,Umbilical cord,Stem,Allogeneic,Not stated,Not stated,2. Average % reported,"Performed, value reported","Performed, value reported",Not mentioned,Not mentioned,Not mentioned,Demonstrated (OA),Yes,1,8,9,greater than,80,measure,p,NA,+,NA,m,NA,+,NA,m,NA,+,NA,m,NA,X,NA,m,NA,X,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,X,NA,m,NA,NA,n,NA,n,NA,X,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,+,NA,m,NA,n,NA,n,NA,n,NA,n,NA,n,NA
8,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/sctm.17-0040,Kastrup,Cryopreserved Off-the-Shelf Allogeneic AdiposeDerived Stromal Cells for Therapy in Patients with Ischemic Heart Disease and Heart Failure—A Safety Study,Stem Cells Translational Medicine,2017,Denmark,Europe,I,I,Not stated,y,n,Heart failure,CVS,Cardiovascular,Intracardiac,Adipose,Stromal,Allogeneic,Female,Adult,2. Average % reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,6,0,6,greater than,80,release,p,greater than,80,release,p,greater than,80,release,p,greater than,80,release,p,NA,NA,NA,n,less than,3,release,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,less than,5,release,p,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
9,https://journals.lww.com/transplantjournal/fulltext/2017/08000/Intervertebral_Disc_Repair_by_Allogeneic.38.aspx#pdf-link,Noriega,Intervertebral Disc Repair by Allogeneic Mesenchymal Bone Marrow Cells: A Randomized Controlled Trial,TRANSPLANTATION,2017,Spain,Europe,I/IIa,I,Paracrine,n,n/a (not claimed),Intervertebral disc repair,MS,Musculoskeletal,Local injection,Bone marrow,Stromal,Allogeneic,Not stated,Adult,5. No characterisation discussed,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,1,0,1,minimum,97,measure,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
10,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/sctm.16-0227,Pang,Allogeneic Bone?Marrow?Derived Mesenchymal stromal Cells Expanded in vitro for Treatment of Aplastic Anemia: A Multicenter Phase II Trial,Stem Cells Translational Medicine,2017,China,Asia,II,II,Immune,y,n,Aplastic anemia,Haem,Haematology,Intravenous,Bone marrow,Stromal,Allogeneic,Both,Adult,2. Average % reported,"Performed, value reported","Performed, value reported",Not mentioned,Not mentioned,Not mentioned,Demonstrated (OA),Yes,3,3,6,NA,NA,NA,n,greater than,92,measure,p,greater than,92,measure,p,greater than,92,NA,p,NA,X,NA,m,NA,X,NA,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,X,NA,m,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
11,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/sctm.16-0372,Chambers,Mesenchymal Stromal Cell Therapy for Chronic Lung Allograft Dysfunction: Results of a First?in?Man Study,Stem Cells Translational Medicine,2017,Australia,Australia,I,I,Immune,n,n/a (not claimed),Chronic Lung Allograft Dysfunction ,IM,Immune,Intravenous,Bone marrow,Stromal,Allogeneic,Both,Adult,4. Stated as 'standard phenotype',"Performed, no value reported","Performed, no value reported","Performed, no value reported",Not mentioned,Not mentioned,Claimed (OAC),Yes,1,4,5,greater than,70,release,p,NA,+,release,m,NA,+,release,m,NA,+,release,m,NA,NA,NA,n,NA,X,release,m,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
12,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/sctm.16-0199,Whitehouse,Repair of Torn Avascular Meniscal Cartilage Using Undifferentiated Autologous Mesenchymal Stem Cells: From In Vitro Optimization to a First?in?Human Study,Stem Cells Translational Medicine,2017,UK,Europe,I/IIa,I,Paracrine,n,n/a (not claimed),Meniscus repair,MS,Musculoskeletal,Implant,Bone marrow,Stem,Autologous,Not stated,Not stated,1. % by batch reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,5,0,5,greater than,90,measure,p,NA,NA,NA,n,greater than,80,release,p,greater than,80,release,p,less than,10,release,p,less than,10,release,p,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
13,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.5966/sctm.2016-0237,Gupta,"Administration of Adult Human Bone Marrow?Derived, Cultured, Pooled, Allogeneic Mesenchymal Stromal Cells in Critical Limb Ischemia Due to Buerger’s Disease: Phase II Study Report Suggests Clinical Efficacy",Stem Cells Translational Medicine,2017,India,Asia,II,II,Paracrine,n,n/a (not claimed),Critical limb ischaemia,CVS,Cardiovascular,Intramuscular,Bone marrow,Stromal,Allogeneic,Not stated,Adult,2. Average % reported,"Performed, value reported","Performed, value reported","Performed, value reported",Not mentioned,Not mentioned,Demonstrated (OAC),Yes,11,0,11,greater than,85,release,p,greater than,80,release,p,greater than,80,release,p,greater than,80,release,p,less than,5,release,p,less than,5,release,p,NA,NA,NA,n,less than,5,release,p,NA,NA,NA,n,less than,5,release,p,less than,5,release,p,NA,NA,n,NA,n,NA,NA,n,less than,5,release,p,greater than,80,release,p,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
14,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/sctm.16-0315,de Oliveira,Combined Bone Marrow-Derived Mesenchymal Stromal Cell Therapy and One-Way Endobronchial Valve Placement in Patients with Pulmonary Emphysema: A Phase I Clinical Trial,Stem Cells Translational Medicine,2017,Brazil,South America,I,I,Paracrine,n,n/a (not claimed),Pulmonary emphysema,Resp,Respiratory,Topical,Bone marrow,Stromal,Allogeneic,Not stated,Adult,1. % by batch reported,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,11,0,11,NA,I,NA,p,NA,I,NA,p,NA,I,NA,p,NA,I,NA,p,NA,I,NA,p,NA,I,NA,p,NA,NA,NA,n,NA,I,NA,p,NA,NA,NA,n,NA,I,NA,p,NA,I,NA,p,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,I,NA,p,NA,I,NA,p,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
15,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5442809/,Park,Cartilage Regeneration in Osteoarthritic Patients by a Composite of Allogeneic Umbilical Cord Blood?Derived Mesenchymal Stem Cells and Hyaluronate Hydrogel: Results from a Clinical Trial for Safety and Proof?of?Concept with 7 Years of Extended Follow?Up,Stem Cells Translational Medicine,2017,Korea (Republic of),Asia,I/IIa,I,Paracrine,n,n/a (not claimed),Osteoarthritis,MS,Musculoskeletal,Intraarticular,Umbilical cord,Stem,Allogeneic,Not stated,Not stated,4. Stated as 'standard phenotype',Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,0,0,0,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
16,https://www.hindawi.com/journals/sci/2017/5237063/,Qayyam,Adipose-Derived Stromal Cells for Treatment of Patients with Chronic Ischemic Heart Disease (MyStromalCell Trial): A Randomized Placebo-Controlled Study,Stem Cells Translational Medicine,2017,Denmark,Europe,II,II,Paracrine,y,n,Angina,CVS,Cardiovascular,Intracardiac,Adipose,Stromal,Autologous,Not stated,Not stated,4. Stated as 'standard phenotype',Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,None mentioned,No,0,0,0,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
17,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/sctm.18-0183,Chahal,Bone Marrow Mesenchymal Stromal Cells in Patients with Osteoarthritis Results in Overall Improvement in Pain and Symptoms and Reduces Synovial Inflammation,Stem Cells Translational Medicine,2019,Canada,North America,I/IIa,I,Paracrine,y,n,Osteoarthritis,MS,Musculoskeletal,Intraarticular,Bone marrow,Stromal,Autologous,Not stated,Not stated,2. Average % reported,"Performed, no value reported","Performed, no value reported","Performed, no value reported",Not mentioned,Not mentioned,Claimed (OAC),Yes,9,0,9,minimum,70,release,p,minimum,95,release,p,minimum,95,release,p,minimum,95,release,p,maximum,2,release,p,maximum,2,release,p,NA,NA,NA,n,maximum,2,release,p,NA,NA,NA,n,maximum,2,release,p,maximum,2,release,p,NA,NA,n,NA,n,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,NA,NA,n,NA,n,NA,n,NA,n,NA,n,NA,n,NA
